City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
2,Broome,US,75.38,overcast clouds,42.2506,-75.833,Chenango Valley State Park
9,Hilo,US,70.61,moderate rain,19.7297,-155.09,Hilo Hawaiian Hotel
10,Bethel,US,78.35,overcast clouds,41.3712,-73.414,Courtyard by Marriott Danbury
19,Souillac,MU,75.58,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
23,Vaini,TO,74.64,overcast clouds,-21.2,-175.2,Keleti Beach Resort
25,Bengkulu,ID,78.98,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
28,Gorontalo,ID,76.17,overcast clouds,0.5412,123.0595,Maqna Hotel by Prasanthi
30,Atuona,PF,78.15,scattered clouds,-9.8,-139.0333,Villa Enata
39,Rikitea,PF,77.61,broken clouds,-23.1203,-134.9692,People ThankYou
43,Bubaque,GW,78.51,broken clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
50,Vavuniya,LK,79.09,broken clouds,8.7514,80.4971,Thampa Hotel
51,Mayumba,GA,79.66,scattered clouds,-3.432,10.6554,LIKWALE LODGE
73,Hambantota,LK,77.34,broken clouds,6.1241,81.1185,Bungalow 63
74,Jamestown,US,77.02,clear sky,42.097,-79.2353,Hampton Inn & Suites Jamestown
80,Cap Malheureux,MU,71.47,few clouds,-19.9842,57.6142,Pereybere Hotel & Spa
82,Meulaboh,ID,79.74,overcast clouds,4.1363,96.1285,Kost Pria
85,Melfi,IT,75.76,clear sky,40.9965,15.6514,HOTEL TERME DI RAPOLLA
93,Ambilobe,MG,74.44,few clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
97,Kapaa,US,73.72,clear sky,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
98,Lompoc,US,75.56,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
114,Diamantina,BR,78.13,scattered clouds,-18.2494,-43.6003,POUSADA OURO DE MINAS
115,Arraial Do Cabo,BR,76.86,few clouds,-22.9661,-42.0278,Pousada Porto Praia
117,Saint-Pierre,RE,71.91,clear sky,-21.3393,55.4781,Alize Plage
118,Biak,ID,76.32,overcast clouds,-0.9131,122.8766,Penginapan Kim
121,San Cristobal,VE,75.38,broken clouds,7.7669,-72.225,Pirineos
123,Touros,BR,78.35,light rain,-5.1989,-35.4608,INN NEW HORIZON
126,Bandipur,NP,72.66,broken clouds,27.9333,84.4167,Bandipur Guest House
128,Blumenau,BR,73.08,overcast clouds,-26.9194,-49.0661,Plaza Blumenau Hotel
129,Beira,MZ,73.49,few clouds,-19.8436,34.8389,Beira Terrace Hotel
135,San Vicente De Canete,PE,70.0,scattered clouds,-13.0751,-76.3835,Hotel Konford
138,San Giorgio Del Sannio,IT,73.09,clear sky,41.0696,14.8522,Blu Hotel
150,Saint-Leu,RE,72.43,few clouds,-21.15,55.2833,La Caz Oceane
154,Bambous Virieux,MU,75.45,scattered clouds,-20.3428,57.7575,Casa Tia Villa
158,Shahr-E Babak,IR,76.3,clear sky,30.1165,55.1186,Duna Ecolodge
166,Papetoai,PF,74.79,few clouds,-17.4961,-149.8729,Fare Vaihere
167,Sao Joao Da Barra,BR,78.89,broken clouds,-21.6403,-41.0511,Pousada Porto De Canoas
168,Pokhara,NP,74.35,overcast clouds,28.2333,83.9833,OYO 170 Hotel View Point
169,Chiche,GT,72.46,clear sky,15.0086,-91.065,Cementerio general la resurrección
171,Loikaw,MM,71.89,clear sky,19.6742,97.2094,Myat Nan Taw Hotel
175,Namibe,AO,76.32,clear sky,-15.1961,12.1522,Hotel Chik Chik Namibe
176,Effingham,US,77.86,overcast clouds,32.3669,-81.3332,Countryside Village
179,Kahului,US,73.85,few clouds,20.8947,-156.47,Maui Seaside Hotel
182,Grand Gaube,MU,75.6,scattered clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
185,La Fleche,FR,76.12,broken clouds,47.6982,-0.0755,Le Relais Cicero
186,Saint Anthony,US,74.41,clear sky,45.0205,-93.218,Holiday Inn Express Roseville-St. Paul
195,Ardakan,IR,77.76,clear sky,32.31,54.0175,Ardakan Hotel
205,Manta,EC,78.58,overcast clouds,-0.95,-80.7333,Balandra Hotel
211,Castro,BR,70.27,clear sky,-24.7911,-50.0119,CHACARA BAILLY
214,Mae Chan,TH,76.78,clear sky,20.1467,99.8526,Kiang Dao Resort
216,Aguimes,ES,71.65,few clouds,27.9054,-15.4461,Hotel Villa de Aguimes
219,Kloulklubed,PW,73.9,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
221,Meadow Lake,US,72.68,clear sky,34.8014,-106.5436,TumbleWeed RV Park
228,Lahaina,US,73.81,broken clouds,20.8783,-156.6825,Lahaina Shores Beach Resort
229,Sao Filipe,CV,76.32,few clouds,14.8961,-24.4956,Hotel Xaguate
236,Mount Pleasant,US,77.18,broken clouds,32.7941,-79.8626,Best Western Patriots Point
241,Ulcinj,ME,79.02,scattered clouds,41.9294,19.2244,Hotel Palata Venezia
245,Alexandria,EG,70.9,broken clouds,31.2156,29.9553,Royal Crown Hotel
251,Grandview,US,72.82,clear sky,38.8858,-94.533,Holiday Inn Express & Suites Kansas City-Grandview
254,Miri,MY,77.92,overcast clouds,4.4148,114.0089,"Mega Hotel, Miri"
260,Tautira,PF,79.88,light rain,-17.7333,-149.15,Pension Oaoa
265,Quatre Cocos,MU,75.31,scattered clouds,-20.2078,57.7625,Sunrise Attitude Hotel
269,Saint-Philippe,RE,71.19,clear sky,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
276,Balikpapan,ID,76.75,overcast clouds,-1.2675,116.8289,Swiss-Belhotel Balikpapan
280,Ahuimanu,US,73.2,light rain,21.4447,-157.8378,Paradise Bay Resort
285,Le Port,RE,73.36,broken clouds,-20.9373,55.2919,KORBEY D'OR OUEST
286,Calvia,ES,79.09,scattered clouds,39.5657,2.5062,Castell Son Claret
289,Bintulu,MY,78.26,light rain,3.1667,113.0333,900 Boutique INN
302,Kieta,PG,78.67,broken clouds,-6.2167,155.6333,Uruna Bay Retreat
305,Pirae,PF,75.22,scattered clouds,-17.5167,-149.5333,Tahiti Nui Hotel
311,Caarapo,BR,75.87,clear sky,-22.6342,-54.8222,Hotel Pousada Quinta do Sul
312,Ishigaki,JP,77.43,overcast clouds,24.3448,124.1572,Hotel Peace Land Ishigakijima
316,Mahebourg,MU,75.49,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
317,Vao,NC,73.15,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
320,Camacha,PT,71.02,few clouds,33.0833,-16.3333,Hotel Porto Santo & Spa
326,Bani Walid,LY,75.94,scattered clouds,31.7566,13.9942,منزل مفتاح محمد الزلبي
331,Puerto Baquerizo Moreno,EC,77.99,scattered clouds,-0.9,-89.6,Hotel los Algarrobos
