City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Puerto Ayacucho,VE,5.6639,-67.6236,86.49,69,89,3.87,overcast clouds
1,Koregaon,IN,18.65,74.0833,83.77,49,19,16.73,few clouds
2,Broome,US,42.2506,-75.833,75.38,68,100,10.36,overcast clouds
3,Avarua,CK,-21.2078,-159.775,80.69,81,100,20.42,light rain
4,Yellowknife,CA,62.456,-114.3525,46.56,59,18,10.4,few clouds
5,Coihaique,CL,-45.5752,-72.0662,42.22,77,91,9.46,overcast clouds
6,Clyde River,CA,70.4692,-68.5914,25.45,63,21,6.78,few clouds
7,Muli,MV,2.9167,73.5667,81.95,80,100,15.26,moderate rain
8,Vega De Alatorre,MX,20.0333,-96.6333,84.45,62,37,9.04,scattered clouds
9,Hilo,US,19.7297,-155.09,70.61,89,40,8.05,moderate rain
10,Bethel,US,41.3712,-73.414,78.35,82,100,4.61,overcast clouds
11,Shenyang,CN,41.7922,123.4328,51.82,32,0,6.71,clear sky
12,Minchinabad,PK,30.163,73.5685,101.39,6,0,2.37,clear sky
13,Mangrol,IN,21.1167,70.1167,84.18,78,1,16.06,clear sky
14,Ulladulla,AU,-35.35,150.4667,63.77,95,51,4.0,broken clouds
15,Zhanaozen,KZ,43.3,52.8,62.02,43,10,13.98,clear sky
16,Ushuaia,AR,-54.8,-68.3,42.46,100,40,6.91,scattered clouds
17,Aksarka,RU,66.5606,67.7975,39.16,94,100,6.24,overcast clouds
18,Qaqortoq,GL,60.7167,-46.0333,33.08,90,97,7.92,overcast clouds
19,Souillac,MU,-20.5167,57.5167,75.58,73,40,6.91,scattered clouds
20,Henties Bay,NA,-22.116,14.2845,59.72,76,2,13.13,clear sky
21,Lebu,CL,-37.6167,-73.65,53.1,64,34,13.62,scattered clouds
22,Yichang,CN,30.7144,111.2847,62.04,73,91,2.98,overcast clouds
23,Vaini,TO,-21.2,-175.2,74.64,64,100,25.17,overcast clouds
24,Katsuura,JP,35.1333,140.3,69.82,94,100,26.15,moderate rain
25,Bengkulu,ID,-3.8004,102.2655,78.98,85,100,3.94,overcast clouds
26,Beringovskiy,RU,63.05,179.3167,31.77,87,100,5.1,overcast clouds
27,Qaanaaq,GL,77.484,-69.3632,18.79,70,15,2.93,few clouds
28,Gorontalo,ID,0.5412,123.0595,76.17,94,100,3.22,overcast clouds
29,Udachnyy,RU,66.4167,112.4,21.42,85,23,2.91,few clouds
30,Atuona,PF,-9.8,-139.0333,78.15,68,50,20.89,scattered clouds
31,Esperance,AU,-33.8667,121.9,58.24,67,100,22.5,overcast clouds
32,Rezekne,LV,56.5,27.3167,54.43,59,97,12.46,overcast clouds
33,Punta Arenas,CL,-53.15,-70.9167,46.42,93,15,4.79,few clouds
34,Khatanga,RU,71.9667,102.5,15.64,94,100,4.61,overcast clouds
35,Albany,US,42.6001,-73.9662,78.58,62,49,1.01,scattered clouds
36,Kavieng,PG,-2.5744,150.7967,81.3,78,67,8.1,broken clouds
37,Cidreira,BR,-30.1811,-50.2056,64.6,65,8,4.45,clear sky
38,Potam,MX,27.6,-110.3833,83.39,13,12,9.71,few clouds
39,Rikitea,PF,-23.1203,-134.9692,77.61,75,57,22.68,broken clouds
40,Bluff,NZ,-46.6,168.3333,52.81,87,100,14.12,moderate rain
41,Norman Wells,CA,65.282,-126.8329,47.97,59,49,2.93,scattered clouds
42,Busselton,AU,-33.65,115.3333,58.87,70,82,12.35,broken clouds
43,Bubaque,GW,11.2833,-15.8333,78.51,81,66,8.99,broken clouds
44,Carndonagh,IE,55.25,-7.2667,58.62,78,100,17.31,overcast clouds
45,Beloha,MG,-25.1667,45.05,67.64,79,17,12.35,few clouds
46,Matsumoto,JP,36.2333,137.9667,64.18,85,100,7.0,light rain
47,Mataura,NZ,-46.1927,168.8643,52.48,80,100,5.06,moderate rain
48,Egvekinot,RU,66.3167,-179.1667,16.16,94,24,1.97,few clouds
49,Hastings,GB,50.8552,0.5729,65.89,61,100,17.63,overcast clouds
50,Vavuniya,LK,8.7514,80.4971,79.09,84,59,9.66,broken clouds
51,Mayumba,GA,-3.432,10.6554,79.66,85,45,8.34,scattered clouds
52,Torbay,CA,47.6666,-52.7314,55.27,61,59,4.0,broken clouds
53,Entre Rios,BR,-11.9419,-38.0844,88.07,44,6,8.28,clear sky
54,College,US,64.8569,-147.8028,37.58,94,100,1.99,overcast clouds
55,Mandalgovi,MN,45.7625,106.2708,43.41,32,15,7.9,few clouds
56,Wuwei,CN,37.9281,102.6414,42.66,81,100,1.19,overcast clouds
57,Barrow,US,71.2906,-156.7887,15.82,86,100,10.36,mist
58,Hobart,AU,-42.8794,147.3294,54.05,90,75,4.61,light rain
59,Tasiilaq,GL,65.6145,-37.6368,28.56,50,19,1.19,few clouds
60,Salalah,OM,17.0151,54.0924,87.89,58,0,5.75,clear sky
61,Pisco,PE,-13.7,-76.2167,68.02,88,20,8.05,mist
62,Thompson,CA,55.7435,-97.8558,43.7,66,100,15.93,overcast clouds
63,Cape Town,ZA,-33.9258,18.4232,62.35,81,69,1.99,broken clouds
