City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Mataura,NZ,2022-05-11 21:52:16,-46.1927,168.8643,51.48,77,11,2.8
1,Petropavlovsk-Kamchatskiy,RU,2022-05-11 21:52:16,53.0452,158.6483,48.79,50,75,4.47
2,Rikitea,PF,2022-05-11 21:52:17,-23.1203,-134.9692,77.23,82,10,20.33
3,Hamilton,US,2022-05-11 21:52:17,39.1834,-84.5333,86.76,44,15,4.0
4,Langcangan,PH,2022-05-11 21:52:18,8.4794,123.7558,75.83,94,61,3.58
5,Cape Town,ZA,2022-05-11 21:50:02,-33.9258,18.4232,56.12,88,0,4.61
6,Tasiilaq,GL,2022-05-11 21:52:20,65.6145,-37.6368,21.63,85,90,2.24
7,Hermanus,ZA,2022-05-11 21:52:20,-34.4187,19.2345,57.45,78,0,5.75
8,Ancud,CL,2022-05-11 21:52:21,-41.8697,-73.8203,49.28,88,100,14.36
9,Havre-Saint-Pierre,CA,2022-05-11 21:52:22,50.2334,-63.5986,55.76,44,100,10.36
10,Ixtapa,MX,2022-05-11 21:52:22,20.7,-105.2,93.11,36,3,8.3
11,Puerto Ayora,EC,2022-05-11 21:52:23,-0.7393,-90.3518,84.16,89,49,3.0
12,Mount Gambier,AU,2022-05-11 21:52:23,-37.8333,140.7667,51.71,93,100,0.0
13,Masvingo,ZW,2022-05-11 21:52:25,-20.0637,30.8277,60.08,79,0,4.59
14,Puerto Colombia,CO,2022-05-11 21:52:25,10.9878,-74.9547,82.49,73,100,7.81
15,Ushuaia,AR,2022-05-11 21:49:14,-54.8,-68.3,49.66,57,75,18.41
16,Puerto Del Rosario,ES,2022-05-11 21:52:26,28.5004,-13.8627,71.35,73,0,16.11
17,Dikson,RU,2022-05-11 21:52:27,73.5069,80.5464,8.92,94,56,5.91
18,Tuatapere,NZ,2022-05-11 21:52:27,-46.1333,167.6833,50.52,79,44,4.61
19,Husavik,IS,2022-05-11 21:52:28,66.0449,-17.3389,31.89,91,100,9.4
20,Portland,US,2022-05-11 21:52:10,45.5234,-122.6762,64.26,46,75,9.22
21,Lagoa,PT,2022-05-11 21:52:29,39.05,-27.9833,58.06,68,72,13.0
22,Victoria,HK,2022-05-11 21:51:00,22.2855,114.1577,80.65,94,100,5.01
23,Mar Del Plata,AR,2022-05-11 21:52:30,-38.0023,-57.5575,53.87,80,20,8.05
24,Norman Wells,CA,2022-05-11 21:52:30,65.282,-126.8329,46.44,34,20,3.44
25,Ostrovnoy,RU,2022-05-11 21:52:31,68.0531,39.5131,43.34,71,100,16.67
26,Grindavik,IS,2022-05-11 21:52:32,63.8424,-22.4338,39.15,81,75,9.22
27,Hilo,US,2022-05-11 21:52:32,19.7297,-155.09,84.27,69,75,11.5
28,Port Elizabeth,ZA,2022-05-11 21:52:33,-33.918,25.5701,57.49,88,0,3.44
29,Saint-Philippe,RE,2022-05-11 21:52:33,-21.3585,55.7679,72.99,81,48,5.48
30,Quebo,GW,2022-05-11 21:52:34,11.3333,-14.9333,77.31,71,21,7.23
31,Barrow,US,2022-05-11 21:52:34,71.2906,-156.7887,28.42,86,100,17.27
32,Nikolskoye,RU,2022-05-11 21:52:35,59.7035,30.7861,47.8,97,100,3.76
33,Sikasso,ML,2022-05-11 21:52:35,10.9167,-7.0,90.28,33,29,6.02
34,Ozernovskiy,RU,2022-05-11 21:52:36,51.5,156.5167,41.83,75,19,6.31
35,Bayanday,RU,2022-05-11 21:52:36,53.0661,105.5139,34.05,61,76,4.76
36,Berberati,CF,2022-05-11 21:52:37,4.2612,15.7922,66.83,91,96,2.13
37,Russell,US,2022-05-11 21:52:38,32.3502,-85.1999,86.97,43,0,9.22
38,Yelkhovka,RU,2022-05-11 21:52:38,53.8667,50.2832,43.56,89,93,17.63
39,Boa Vista,BR,2022-05-11 21:52:39,2.8197,-60.6733,85.98,66,75,6.91
